ARTIST,TITLE
"Cher","Believe"
"TLC","No Scrubs"
"Monica","Angel of Mine"
"Whitney Houston","Heartbreak Hotel (featuring Faith Evans and Kelly Price)"
"Britney Spears","...Baby One More Time"
"Sixpence None the Richer","Kiss Me"
"Ricky Martin","Livin' la Vida Loca"
"Jennifer Lopez","If You Had My Love"
"Christina Aguilera","Genie in a Bottle"
"Smash Mouth","All Star"
"Faith Hill","Breathe"
"Santana featuring Rob Thomas","Smooth"
"Santana featuring The Product G&B","Maria Maria"
"Joe","I Wanna Know"
"Vertical Horizon","Everything You Want"
"Destiny's Child","Say My Name"
"Savage Garden","I Knew I Loved You"
"Lonestar","Amazed"
"Matchbox Twenty","Bent"
"Aaliyah","Try Again"
"Lifehouse","Hanging by a Moment"
"Shaggy featuring Ricardo 'RikRok' Ducent","It Wasn't Me"
"Jennifer Lopez featuring Ja Rule","I'm Real"
"Destiny's Child","Independent Women Part I"
"Alicia Keys","Fallin'"
"Joe featuring Mystikal","Stutter"
"Janet Jackson","All for You"
"Train","Drops of Jupiter (Tell Me)"
"Eve featuring Gwen Stefani","Let Me Blow Ya Mind"
"Dido","Thank You"
"Nickelback","How You Remind Me"
"Ashanti","Foolish"
"Nelly","Hot in Herre"
"Nelly featuring Kelly Rowland","Dilemma"
"The Calling","Wherever You Will Go"
"Vanessa Carlton","A Thousand Miles"
"Linkin Park","In the End"
"Fat Joe featuring Ashanti","What's Luv?"
"Usher","U Got It Bad"
"Puddle of Mudd","Blurry"
"50 Cent","In Da Club"
"R. Kelly","Ignition (Remix)"
"Sean Paul","Get Busy"
"Beyonce featuring Jay-Z","Crazy in Love"
"3 Doors Down","When I'm Gone"
"Matchbox Twenty","Unwell"
"Chingy","Right Thurr"
"Kid Rock featuring Sheryl Crow","Picture"
"Jennifer Lopez featuring LL Cool J","All I Have"
"OutKast","Hey Ya!"
"Usher featuring Lil Jon and Ludacris","Yeah!"
"Usher","Burn"
"Alicia Keys","If I Ain't Got You"
"Maroon 5","This Love"
"OutKast","The Way You Move"
"Juvenile featuring Soulja Slim","Slow Motion"
"Hoobastank","The Reason"
"Ciara featuring Petey Pablo","Goodies"
"OutKast","Hey Ya!"
"Destiny's Child","Lose My Breath"
"Mariah Carey","We Belong Together"
"Gwen Stefani","Hollaback Girl"
"Mario","Let Me Love You"
"Kelly Clarkson","Since U Been Gone"
"Ciara featuring Missy Elliott","1, 2 Step"
"Kanye West featuring Jamie Foxx","Gold Digger"
"Green Day","Boulevard of Broken Dreams"
"50 Cent featuring Olivia","Candy Shop"
"The Pussycat Dolls featuring Busta Rhymes","Don't Cha"
"Chris Brown","Run It!"
"Daniel Powter","Bad Day"
"Nelly Furtado","Promiscuous"
"Sean Paul","Temperature"
"Justin Timberlake","SexyBack"
"Beyonce","Irreplaceable"
"Chamillionaire featuring Krayzie Bone","Ridin'"
"The Fray","Over My Head (Cable Car)"
"Ciara featuring Chamillionaire","Get Up"
"Pink","Stupid Girls"
"Rihanna","SOS"
"Beyonce","Irreplaceable"
"Rihanna featuring Jay-Z","Umbrella"
"Gwen Stefani featuring Akon","The Sweet Escape"
"Fergie","Big Girls Don't Cry"
"T-Pain featuring Yung Joc","Buy U a Drank (Shawty Snappin')"
"Carrie Underwood","Before He Cheats"
"Plain White T's","Hey There Delilah"
"Akon featuring Snoop Dogg","I Wanna Love You"
"Nelly Furtado","Say It Right"
"Fergie featuring Ludacris","Glamorous"
"Flo Rida featuring T-Pain","Low"
"Leona Lewis","Bleeding Love"
"Alicia Keys","No One"
"Lil Wayne featuring Static Major","Lollipop"
"Timbaland featuring OneRepublic","Apologize"
"Jordin Sparks featuring Chris Brown","No Air"
"Sara Bareilles","Love Song"
"Usher featuring Young Jeezy","Love in This Club"
"Chris Brown","With You"
"Chris Brown","Forever"
"The Black Eyed Peas","Boom Boom Pow"
"Lady Gaga","Poker Face"
"Lady Gaga featuring Colby O'Donis","Just Dance"
"The Black Eyed Peas","I Gotta Feeling"
"Taylor Swift","Love Story"
"Flo Rida","Right Round"
"Jason Mraz","I'm Yours"
"Beyonce","Single Ladies (Put a Ring on It)"
"Kanye West","Heartless"
"The All-American Rejects","Gives You Hell"
"Kesha","Tik Tok"
"Lady Antebellum","Need You Now"
"Eminem featuring Rihanna","Love the Way You Lie"
"Usher featuring will.i.am","OMG"
"B.o.B featuring Hayley Williams","Airplanes"
"Taio Cruz","Dynamite"
"Bruno Mars","Just the Way You Are"
"Jason Derulo","In My Head"
"Rihanna","Rude Boy"
"Lady Gaga","Bad Romance"
"Adele","Rolling in the Deep"
"Pitbull featuring Ne-Yo, Afrojack & Nayer","Give Me Everything"
"Maroon 5 featuring Christina Aguilera","Moves Like Jagger"
"LMFAO featuring Lauren Bennett & GoonRock","Party Rock Anthem"
"Adele","Someone Like You"
"Katy Perry","Firework"
"Pitbull featuring T-Pain","Hey Baby (Drop It to the Floor)"
"Katy Perry featuring Kanye West","E.T."
"Lil Wayne","How to Love"
"OneRepublic","Good Life"
"Gotye featuring Kimbra","Somebody That I Used to Know"
"Carly Rae Jepsen","Call Me Maybe"
"fun. featuring Janelle Monáe","We Are Young"
"Maroon 5","Payphone"
"Ellie Goulding","Lights"
"The Wanted","Glad You Came"
"Kelly Clarkson","Stronger (What Doesn't Kill You)"
"Rihanna","We Found Love"
"Nicki Minaj","Starships"
"One Direction","What Makes You Beautiful"
"Robin Thicke featuring T.I. and Pharrell Williams","Blurred Lines"
"Macklemore & Ryan Lewis featuring Ray Dalton","Can't Hold Us"
"Imagine Dragons","Radioactive"
"Baauer","Harlem Shake"
"Justin Timberlake","Mirrors"
"P!nk featuring Nate Ruess","Just Give Me a Reason"
"Bruno Mars","When I Was Your Man"
"Florida Georgia Line featuring Nelly","Cruise"
"Katy Perry","Roar"
"Avicii","Wake Me Up!"
"Pharrell Williams","Happy"
"John Legend","All of Me"
"Katy Perry featuring Juicy J","Dark Horse"
"Iggy Azalea featuring Charli XCX","Fancy"
"OneRepublic","Counting Stars"
"MAGIC!","Rude"
"Nico & Vinz","Am I Wrong"
"Sam Smith","Stay with Me"
"Pitbull featuring Kesha","Timber"
"Meghan Trainor","All About That Bass"
"Mark Ronson featuring Bruno Mars","Uptown Funk"
"Ed Sheeran","Thinking Out Loud"
"Wiz Khalifa featuring Charlie Puth","See You Again"
"Maroon 5","Sugar"
"Ellie Goulding","Love Me Like You Do"
"The Weeknd","Earned It"
"Walk the Moon","Shut Up and Dance"
"The Weeknd","Can't Feel My Face"
"Taylor Swift","Blank Space"
"Silento","Watch Me (Whip/Nae Nae)"
"Lukas Graham","7 Years"
"The Chainsmokers featuring Halsey","Closer"
"Rihanna featuring Drake","Work"
"twenty one pilots","Stressed Out"
"Desiigner","Panda"
"Adele","Hello"
"Justin Bieber","Love Yourself"
"Justin Timberlake","Can't Stop the Feeling!"
"Drake featuring WizKid and Kyla","One Dance"
"Sia featuring Sean Paul","Cheap Thrills"
"Ed Sheeran","Shape of You"
"Luis Fonsi & Daddy Yankee featuring Justin Bieber","Despacito (Remix)"
"Bruno Mars","That's What I Like"
"Kendrick Lamar","Humble."
"The Chainsmokers & Coldplay","Something Just Like This"
"Migos featuring Lil Uzi Vert","Bad and Boujee"
"The Chainsmokers featuring Halsey","Closer"
"Sam Hunt","Body Like a Back Road"
"Imagine Dragons","Believer"
"Post Malone featuring 21 Savage","Rockstar"
"Drake","God's Plan"
"Ed Sheeran","Perfect"
"Post Malone featuring Ty Dolla Sign","Psycho"
"Camila Cabello featuring Young Thug","Havana"
"Post Malone","Better Now"
"Maroon 5 featuring Cardi B","Girls Like You"
"Juice WRLD","Lucid Dreams"
"Imagine Dragons","Thunder"
"Ariana Grande","No Tears Left to Cry"
"Travis Scott","Sicko Mode"
"Lil Nas X featuring Billy Ray Cyrus","Old Town Road"
"Post Malone and Swae Lee","Sunflower"
"Ariana Grande","7 Rings"
"Halsey","Without Me"
"Post Malone","Wow."
"Billie Eilish","Bad Guy"
"Khalid","Talk"
"Jonas Brothers","Sucker"
"Ed Sheeran and Justin Bieber","I Don't Care"
"Sam Smith and Normani","Dancing with a Stranger"
"G-Dragon","Crayon"
"G-Dragon","Crooked"
"G-Dragon","Untitled, 2014"
"G-Dragon","Who You?"
"G-Dragon","That XX"
"G-Dragon","One of a Kind"
"G-Dragon","Heartbreaker"
"G-Dragon","MichiGO"
"G-Dragon","Middle Fingers-Up"
"G-Dragon","Breathe"
"G-Dragon","Without You (feat. ROSE)"
"BTS","Dynamite"
"BTS","Boy With Luv (feat. Halsey)"
"BTS","DNA"
"BTS","FAKE LOVE"
"BTS (Steve Aoki Remix)","Mic Drop"
"BTS","Blood Sweat & Tears"
"BTS","IDOL"
"BTS","Spring Day"
"BTS","Save Me"
"BTS","Not Today"
"BTS","Butter"
"BTS","Left and Right (feat. Jung Kook of BTS)"
"BTS","Take Two"
"BTS","My Universe"
"BTS","Dreamers"
"BLACKPINK","DDU-DU DDU-DU"
"BLACKPINK","Kill This Love"
"BLACKPINK","BOOMBAYAH"
"BLACKPINK","How You Like That"
"BLACKPINK","As If It's Your Last"
"BLACKPINK","Ice Cream (with Selena Gomez)" 
"BLACKPINK","Lovesick Girls"
"BLACKPINK","Playing with Fire"
"BLACKPINK","Whistle"
"BLACKPINK","Stay"
"BLACKPINK","Pretty Savage"
"BLACKPINK","Shut Down"
"BLACKPINK","Pink Venom"
"BLACKPINK","Tally"
"BLACKPINK","Typa Girl"
"BLACKPINK","Hard To Love"
